crawl_time,docket_type,docket_page_link,Protestor,Solicitation Number,Agency,File number,Status,Filed Date,Due Date,Case Type,GAO Attorney,Outcome,Decision Date,Decision link,Decision Highlight
2021-10-07 10:56:43,closed,https://www.gao.gov/docket/b-420029.1,Efficient Energy of Tennessee,W9123821R0045,Department of the Army : Corps of Engineers,B-420029.1,,"Jul 29, 2021","Nov 8, 2021",Bid Protest,Christine Milne,Dismissed,"Sep 10, 2021",,
2021-10-07 10:56:44,closed,https://www.gao.gov/docket/b-419939.2,Hardwick Tactical Corporation,SPE1C1-20-R-0053,Department of Defense : Defense Logistics Agency,B-419939.2,,"Aug 26, 2021","Dec 6, 2021",Bid Protest: Entitlement,Mary G. Curcio,Dismissed,"Sep 10, 2021",,
2021-10-07 10:56:45,closed,https://www.gao.gov/docket/b-419956.11,"Mission Driven Ventures, LLC",75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.11,,"Jul 29, 2021","Nov 8, 2021",Bid Protest,Jonathan L. Kang,Withdrawn,"Sep 10, 2021",,
2021-10-07 10:56:47,closed,https://www.gao.gov/docket/b-419893.11,"Integration Technologies Group, Inc.",70RTAC21R00000003,Department of Homeland Security,B-419893.11,,"Aug 6, 2021","Nov 15, 2021",Bid Protest,Mary G. Curcio,Dismissed,"Sep 10, 2021",,
2021-10-07 10:56:48,closed,https://www.gao.gov/docket/b-420015.2,"Gonzales-McCaulley Investment Group, Inc.",N0018921RR002,Department of the Navy : Naval Supply Systems Command,B-420015.2,,"Aug 20, 2021","Nov 29, 2021",Bid Protest: Entitlement,Hannah G. Barnes,Dismissed,"Sep 9, 2021",,
2021-10-07 10:56:53,closed,https://www.gao.gov/docket/b-420099.1,"MGM Computer Systems, Inc.",36C24421Q0960,Department of Veterans Affairs,B-420099.1,,"Aug 25, 2021","Dec 3, 2021",Bid Protest,Kenneth Kilgour,Dismissed,"Sep 9, 2021",,
2021-10-07 10:56:54,closed,https://www.gao.gov/docket/b-419919.1,"Amaze Technologies, LLC",FA4890-21-R-0001,Department of the Air Force,B-419919.1,,"Jun 17, 2021","Sep 27, 2021",Bid Protest,Alexander O. Levine,Dismissed,"Sep 9, 2021",,
2021-10-07 10:56:56,closed,https://www.gao.gov/docket/b-419905.2,Novex Enterprises,SPE7L321T260N,Department of Defense : Defense Logistics Agency,B-419905.2,,"Jul 15, 2021","Oct 25, 2021",Bid Protest: Reconsideration,Alexander O. Levine,Dismissed,"Sep 9, 2021",,
2021-10-07 10:56:57,closed,https://www.gao.gov/docket/b-420103.1,"Government and Military Certification Systems, Inc.",W9098S21Q0109,Department of the Army : U.S. Army Materiel Command,B-420103.1,,"Aug 27, 2021","Dec 6, 2021",Bid Protest,Paul N. Wengert,Withdrawn,"Sep 9, 2021",,
2021-10-07 10:56:58,closed,https://www.gao.gov/docket/b-420039.1,Logistics Management Institute,W911S019R0002,Department of the Army,B-420039.1,,"Aug 3, 2021","Nov 12, 2021",Bid Protest,Heather Self,Withdrawn,"Sep 8, 2021",,
2021-10-07 10:56:59,closed,https://www.gao.gov/docket/b-420019.1,"Modutech Marine, Inc",N0002421R2250,Department of the Navy : Naval Sea Systems Command,B-420019.1,,"Jul 26, 2021","Nov 3, 2021",Bid Protest,Kenneth Kilgour,Dismissed,"Sep 8, 2021",,
2021-10-07 10:57:01,closed,https://www.gao.gov/docket/b-420007.1,"Certified Stainless Services, Inc- dba West-Mark",W56HZV-21-R-0033,Department of the Army : U.S. Army Materiel Command,B-420007.1,,"Jul 22, 2021","Nov 1, 2021",Bid Protest,Katherine I. Riback,Dismissed,"Sep 8, 2021",,
2021-10-07 10:57:05,closed,https://www.gao.gov/docket/b-418799.4,"Primary Care Solutions, Inc.",36C25718R0842,Department of Veterans Affairs,B-418799.4,,"Jul 12, 2021","Oct 20, 2021",Bid Protest,Charmaine Stevenson,Denied,"Sep 8, 2021","https://www.gao.gov/products/b-418799.3,b-418799.4","Primary Care Solutions, Inc. (PCS), a service-disabled veteran-owned small business (SDVOSB) of Dallas, Texas, protests the award of a contract to Clinovators, LLC, also an SDVOSB of Dallas, Texas, under request for proposals (RFP) No. 36C25718R0842, issued by the Department of Veterans Affairs (VA), for a community-based outpatient clinic (CBOC) in Northwest San Antonio, Texas. The protester contends that the agency's evaluation of proposals was unreasonable and disparate; the agency failed to evaluate PCS's alternate price proposal in violation of the RFP and regulation; and the source selection decision was flawed.


        We deny the protest."
2021-10-07 10:57:08,closed,https://www.gao.gov/docket/b-418799.3,"Primary Care Solutions, Inc.",36C25718R0842,Department of Veterans Affairs,B-418799.3,,"Jun 1, 2021","Sep 9, 2021",Bid Protest,Charmaine Stevenson,Denied,"Sep 8, 2021","https://www.gao.gov/products/b-418799.3,b-418799.4","Primary Care Solutions, Inc. (PCS), a service-disabled veteran-owned small business (SDVOSB) of Dallas, Texas, protests the award of a contract to Clinovators, LLC, also an SDVOSB of Dallas, Texas, under request for proposals (RFP) No. 36C25718R0842, issued by the Department of Veterans Affairs (VA), for a community-based outpatient clinic (CBOC) in Northwest San Antonio, Texas. The protester contends that the agency's evaluation of proposals was unreasonable and disparate; the agency failed to evaluate PCS's alternate price proposal in violation of the RFP and regulation; and the source selection decision was flawed.


        We deny the protest."
2021-10-07 10:57:09,closed,https://www.gao.gov/docket/b-420088.1,"Directional Command, LLC",36C25721Q0765,Department of Veterans Affairs,B-420088.1,,"Aug 20, 2021","Nov 29, 2021",Bid Protest,Emily R. O'Hara,Dismissed,"Sep 8, 2021",,
2021-10-07 10:57:11,closed,https://www.gao.gov/docket/b-420047.2,"Critical Contingency Solutions, LLC",JBLM275AJO0015,Department of the Army,B-420047.2,,"Aug 30, 2021","Dec 8, 2021",Bid Protest,Paul N. Wengert,Dismissed,"Sep 7, 2021",,
2021-10-07 10:57:13,closed,https://www.gao.gov/docket/b-419932.1,"AOC Logistics, LLC",W52P1J-19-R-0118,Department of the Army : U.S. Army Materiel Command,B-419932.1,,"Jun 23, 2021","Oct 1, 2021",Bid Protest,Michael P. Grogan,Withdrawn,"Sep 7, 2021",,
2021-10-07 10:57:14,closed,https://www.gao.gov/docket/b-419785.3,"BAE Systems Technology Solutions & Services, Inc.",W50NH9-20-R-0001,Department of the Army,B-419785.3,,"Jul 26, 2021","Nov 3, 2021",Bid Protest,Heather Self,Withdrawn,"Sep 7, 2021",,
2021-10-07 10:57:16,closed,https://www.gao.gov/docket/b-420001.1,"Seventh Dimension, LLC",W900KK-21-R-0056,Department of the Army : U.S. Army Materiel Command,B-420001.1,,"Jul 20, 2021","Oct 28, 2021",Bid Protest,Paul N. Wengert,Withdrawn,"Sep 7, 2021",,
2021-10-07 10:57:17,closed,https://www.gao.gov/docket/b-420031.1,MIDLAND AIRPORT SERVICES,N68836-21-Q-0168,Department of the Navy : Naval Supply Systems Command,B-420031.1,,"Jul 30, 2021","Nov 8, 2021",Bid Protest,Samantha Lee,Dismissed,"Sep 7, 2021",,
2021-10-07 10:57:19,closed,https://www.gao.gov/docket/b-420077.1,"Wallowa Strategies, LLC",280-21-0560,Department of Health and Human Services : Substance Abuse and Mental Health Services Administration,B-420077.1,,"Aug 16, 2021","Nov 24, 2021",Bid Protest,April Y. Shields,Dismissed,"Sep 7, 2021",,
2021-10-07 10:57:20,closed,https://www.gao.gov/docket/b-419956.15,Teracore Inc.,75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.15,,"Aug 2, 2021","Nov 10, 2021",Bid Protest,Jonathan L. Kang,Dismissed,"Sep 7, 2021",,
2021-10-07 10:57:21,closed,https://www.gao.gov/docket/b-420047.1,"Critical Contingency Solutions, LLC",JBLM275AJO0015,Department of the Army,B-420047.1,,"Aug 6, 2021","Nov 15, 2021",Bid Protest,Paul N. Wengert,Dismissed,"Sep 7, 2021",,
2021-10-07 10:57:23,closed,https://www.gao.gov/docket/b-419981.1,National Restoration Inc,140P6421R0009,Department of the Interior : National Park Service,B-419981.1,,"Jul 12, 2021","Oct 20, 2021",Bid Protest,Heather Weiner,Dismissed,"Sep 7, 2021",,
2021-10-07 10:57:25,closed,https://www.gao.gov/docket/b-419980.1,"XOTech, LLC",M67004-21-R-3002,Department of Defense : United States Marine Corps,B-419980.1,,"Jul 12, 2021","Oct 20, 2021",Bid Protest,Hannah G. Barnes,Dismissed,"Sep 3, 2021",,
2021-10-07 10:57:29,closed,https://www.gao.gov/docket/b-420075.1,"Xandar, LLC",FA8604-21-R-B007,Department of the Air Force,B-420075.1,,"Aug 16, 2021","Nov 24, 2021",Bid Protest,April Y. Shields,Withdrawn,"Sep 3, 2021",,
2021-10-07 10:57:31,closed,https://www.gao.gov/docket/b-420057.2,"BKM IDS Mentor-Protege, JV",W900KK-20-R-0011,Department of the Army : U.S. Army Materiel Command,B-420057.2,,"Aug 11, 2021","Nov 19, 2021",Bid Protest,Glenn G. Wolcott,Dismissed,"Sep 3, 2021",,
2021-10-07 10:57:32,closed,https://www.gao.gov/docket/b-420083.1,"Interpretable AI, LLC",AF212-D004,Department of the Air Force,B-420083.1,,"Aug 18, 2021","Nov 26, 2021",Bid Protest,Sarah T. Zaffina,Dismissed,"Sep 2, 2021",,
2021-10-07 10:57:36,closed,https://www.gao.gov/docket/b-418743.3,"Facility Healthcare Services, Inc.",1333ND20RNB190010,Department of Commerce : National Institute of Standards and Technology,B-418743.3,,"Jul 14, 2021","Oct 22, 2021",Bid Protest,Raymond Richards,Denied,"Sep 2, 2021","https://www.gao.gov/products/b-418743.2,b-418743.3","Facility Healthcare Services, Inc. (Facility), a small business of Brighton, Colorado, protests the award of a contract to Peak Facility Solutions, LLC (Peak), a small business of Conifer, Colorado, under request for proposals (RFP) No. 1333ND20RNB190010, issued by the Department of Commerce, National Institute of Standards and Technology (NIST), for facilities maintenance and operations services. The protester challenges the adequacy of discussions conducted by the agency, the agency's evaluation of proposals, and the source selection decision.


        We deny the protest."
2021-10-07 10:57:38,closed,https://www.gao.gov/docket/b-420074.1,swiftINTEL JV,28321321Q00000299,Independent Agencies and Govt Corporations : Social Security Administration,B-420074.1,,"Aug 16, 2021","Nov 24, 2021",Bid Protest,Jacob Talcott,Withdrawn,"Sep 2, 2021",,
2021-10-07 10:57:39,closed,https://www.gao.gov/docket/b-418337.3,"SupplyCore, Inc.",SPE8E3-19-R-0001,Department of Defense : Defense Logistics Agency,B-418337.3,,"Jun 1, 2021","Sep 9, 2021",Bid Protest,Jacob Talcott,Denied,"Sep 2, 2021",,
2021-10-07 10:57:40,closed,https://www.gao.gov/docket/b-420011.1,"MT&H Systems, LLC",,Department of Health and Human Services : Food and Drug Administration,B-420011.1,,"Jul 23, 2021","Nov 1, 2021",Bid Protest,Glenn G. Wolcott,Dismissed,"Sep 2, 2021",,
2021-10-07 10:57:43,closed,https://www.gao.gov/docket/b-418287.4,Computer World Services Corporation,70Z07919QPNZ00200,Department of Homeland Security : United States Coast Guard,B-418287.4,,"Aug 13, 2021","Nov 22, 2021",Bid Protest,Scott H. Riback,Withdrawn,"Sep 2, 2021",,
2021-10-07 10:57:44,closed,https://www.gao.gov/docket/b-419419.2,Oban Corporation,W9124D20R0016,Department of the Army,B-419419.2,,"Jul 23, 2021","Nov 1, 2021",Bid Protest,Paula A. Williams,Dismissed,"Sep 2, 2021",,
2021-10-07 10:57:46,closed,https://www.gao.gov/docket/b-418337.2,"SupplyCore, Inc.",SPE8E3-19-R-0001,Department of Defense : Defense Logistics Agency,B-418337.2,,"Jun 1, 2021","Sep 9, 2021",Bid Protest,Jacob Talcott,Denied,"Sep 2, 2021",,
2021-10-07 10:57:49,closed,https://www.gao.gov/docket/b-418743.2,"Facility Healthcare Services, Inc.",1333ND20RNB190010,Department of Commerce : National Institute of Standards and Technology,B-418743.2,,"Jun 1, 2021","Sep 9, 2021",Bid Protest,Raymond Richards,Denied,"Sep 2, 2021","https://www.gao.gov/products/b-418743.2,b-418743.3","Facility Healthcare Services, Inc. (Facility), a small business of Brighton, Colorado, protests the award of a contract to Peak Facility Solutions, LLC (Peak), a small business of Conifer, Colorado, under request for proposals (RFP) No. 1333ND20RNB190010, issued by the Department of Commerce, National Institute of Standards and Technology (NIST), for facilities maintenance and operations services. The protester challenges the adequacy of discussions conducted by the agency, the agency's evaluation of proposals, and the source selection decision.


        We deny the protest."
2021-10-07 10:57:51,closed,https://www.gao.gov/docket/b-419810.3,"Amaze Technologies, LLC",FA8773-21-R-8002,Department of the Air Force,B-419810.3,,"Jun 7, 2021","Sep 15, 2021",Bid Protest,Louis A. Chiarella,Dismissed,"Sep 2, 2021",,
2021-10-07 10:57:53,closed,https://www.gao.gov/docket/b-420037.1,"David Boland, Inc.",W912HN21B3001,Department of the Army : Corps of Engineers,B-420037.1,,"Aug 2, 2021","Nov 10, 2021",Bid Protest,Hannah G. Barnes,Dismissed,"Sep 2, 2021",,
2021-10-07 10:57:54,closed,https://www.gao.gov/docket/b-420068.1,HeartLight Pharmacy Services,36C25021Q0839,Department of Veterans Affairs,B-420068.1,,"Aug 13, 2021","Nov 22, 2021",Bid Protest,Heather Self,Dismissed,"Sep 1, 2021",,
2021-10-07 10:57:56,closed,https://www.gao.gov/docket/b-419901.1,"Kerrigan Construction, Inc.",W15QKN-21-Q-5104,Department of the Army : U.S. Army Materiel Command,B-419901.1,,"Jun 11, 2021","Sep 20, 2021",Bid Protest,Katherine I. Riback,Dismissed,"Sep 1, 2021",,
2021-10-07 10:57:59,closed,https://www.gao.gov/docket/b-419742.2,"The Clark Group, LLC",W9127N19R0024,Department of the Army : Corps of Engineers,B-419742.2,,"Jun 1, 2021","Sep 9, 2021",Bid Protest: Entitlement,Sarah T. Zaffina,Denied,"Sep 1, 2021",https://www.gao.gov/products/b-419742.2,"The Clark Group, LLC (TCG), an economically disadvantaged, women-owned small business, of Montpelier, Vermont, requests that our Office recommend it be reimbursed the costs associated with pursuing its protest of the award of five indefinite-delivery, indefinite-quantity (IDIQ), task order contracts under solicitation No. W9127N19R0024, issued by the Department of the Army, Corps of Engineers (Corps) for planning and environmental studies. The protester argues that its protest was clearly meritorious and the agency unduly delayed taking and implementing its proposed corrective action.


        We deny the request."
2021-10-07 10:58:00,closed,https://www.gao.gov/docket/b-418631.10,"GC Logistics, LLC",36C25020Q0093,Department of Veterans Affairs,B-418631.10,,"Aug 20, 2021","Nov 29, 2021",Bid Protest,Kasia Dourney,Dismissed,"Sep 1, 2021",,
2021-10-07 10:58:01,closed,https://www.gao.gov/docket/b-418631.9,"GC Logistics, LLC",36C25020Q0093,Department of Veterans Affairs,B-418631.9,,"Jul 12, 2021","Oct 20, 2021",Bid Protest,Kasia Dourney,Dismissed,"Sep 1, 2021",,
2021-10-07 10:58:03,closed,https://www.gao.gov/docket/b-419719.3,"Black & Decker-US, Inc.",SP3300-21-Q-0009,Department of Defense : Defense Logistics Agency,B-419719.3,,"Aug 4, 2021","Nov 12, 2021",Bid Protest,Paula A. Williams,Withdrawn,"Aug 31, 2021",,
2021-10-07 10:58:08,closed,https://www.gao.gov/docket/b-419468.3,"Epsilon, Inc.",1333BJ21Q00280003,Department of Commerce : Patent and Trademark Office,B-419468.3,,"Aug 4, 2021","Nov 12, 2021",Bid Protest,Evan D. Wesser,Dismissed,"Aug 31, 2021",,
2021-10-07 10:58:09,closed,https://www.gao.gov/docket/b-419468.5,"Vets2 Synergy, LLC",1333BJ21Q00280003,Department of Commerce : Patent and Trademark Office,B-419468.5,,"Aug 6, 2021","Nov 15, 2021",Bid Protest,Evan D. Wesser,Dismissed,"Aug 31, 2021",,
2021-10-07 10:58:11,closed,https://www.gao.gov/docket/b-420040.1,"ICU Medical Sales, Inc.",36C24921Q0473,Department of Veterans Affairs,B-420040.1,,"Aug 3, 2021","Nov 12, 2021",Bid Protest,Katherine I. Riback,Dismissed,"Aug 31, 2021",,
2021-10-07 10:58:13,closed,https://www.gao.gov/docket/b-420108.1,"AvMedical, Inc.",36C25721Q1395,Department of Veterans Affairs,B-420108.1,,"Aug 30, 2021","Dec 8, 2021",Bid Protest,Christine Milne,Withdrawn,"Aug 31, 2021",,
2021-10-07 10:58:16,closed,https://www.gao.gov/docket/b-419860.2,"Booz Allen Hamilton, Inc.",HDTRA120R0001,Department of Defense : Defense Threat Reduction Agency,B-419860.2,,"Jul 23, 2021","Nov 1, 2021",Bid Protest,Glenn G. Wolcott,Denied,"Aug 31, 2021","https://www.gao.gov/products/b-419860,b-419860.2","Booz Allen Hamilton, Inc. (BAH), of McLean, Virginia, protests the Defense Threat Reduction Agency's (DTRA) issuance of a task order to Noblis, Inc., of Reston, Virginia, pursuant to task order request for proposals (TORP) No. HDTRA1-20-R-0001, to provide support for DTRA's cooperative threat reduction (CTR) program. BAH generally asserts that, as the incumbent contractor, its proposal was entitled to higher technical and past performance ratings than Noblis's proposal, and that the agency failed to properly evaluate Noblis's proposed costs for the transition period.


        We deny the protest in part and dismiss it in part."
2021-10-07 10:58:18,closed,https://www.gao.gov/docket/b-420048.1,"NaphCare, Inc.",15BFTD19R00000002,Department of Justice : Bureau of Prisons,B-420048.1,,"Aug 6, 2021","Nov 15, 2021",Bid Protest,Young H. Cho,Dismissed,"Aug 31, 2021",,
2021-10-07 10:58:19,closed,https://www.gao.gov/docket/b-419468.4,TISTA Science and Technology Corporation,1333BJ21Q00280003,Department of Commerce : Patent and Trademark Office,B-419468.4,,"Aug 4, 2021","Nov 12, 2021",Bid Protest,Evan D. Wesser,Dismissed,"Aug 31, 2021",,
2021-10-07 10:58:23,closed,https://www.gao.gov/docket/b-418678.5,"Pioneer Corporate Services, Inc.",19AQMM20R0020,Department of State,B-418678.5,,"Jun 11, 2021","Sep 20, 2021",Bid Protest,Todd C. Culliton,Denied,"Aug 31, 2021",https://www.gao.gov/products/b-418678.5,"Pioneer Corporate Services, Inc., a small business of Ashburn, Virginia, protests the issuance of a task order to MetroStar Systems, Inc., of Reston, Virginia, under request for proposals (RFP) No. 19AQMM20R0020, issued by the Department of State (DOS) for information technology (IT) services. Pioneer argues that the agency unreasonably evaluated the firm's proposal, and that MetroStar had a disqualifying organizational conflict of interest (OCI).


        We deny the protest."
2021-10-07 10:58:24,closed,https://www.gao.gov/docket/b-419719.2,"Black & Decker-US, Inc.",SP3300-21-Q-0009,Department of Defense : Defense Logistics Agency,B-419719.2,,"Jul 19, 2021","Oct 27, 2021",Bid Protest,Paula A. Williams,Withdrawn,"Aug 31, 2021",,
2021-10-07 10:58:27,closed,https://www.gao.gov/docket/b-419860.1,"Booz Allen Hamilton, Inc.",HDTRA120R0001,Department of Defense : Defense Threat Reduction Agency,B-419860.1,,"May 24, 2021","Sep 1, 2021",Bid Protest,Glenn G. Wolcott,Denied,"Aug 31, 2021","https://www.gao.gov/products/b-419860,b-419860.2","Booz Allen Hamilton, Inc. (BAH), of McLean, Virginia, protests the Defense Threat Reduction Agency's (DTRA) issuance of a task order to Noblis, Inc., of Reston, Virginia, pursuant to task order request for proposals (TORP) No. HDTRA1-20-R-0001, to provide support for DTRA's cooperative threat reduction (CTR) program. BAH generally asserts that, as the incumbent contractor, its proposal was entitled to higher technical and past performance ratings than Noblis's proposal, and that the agency failed to properly evaluate Noblis's proposed costs for the transition period.


        We deny the protest in part and dismiss it in part."
2021-10-07 10:58:29,closed,https://www.gao.gov/docket/b-419507.2,"M&C Venture Group, LLC",36C24220B0065,Department of Veterans Affairs,B-419507.2,,"Aug 12, 2021","Nov 22, 2021",Bid Protest,Christine Milne,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:30,closed,https://www.gao.gov/docket/b-420066.2,"ACI Payments, Inc.",2032H5-19-R-00005,Department of the Treasury : Internal Revenue Service,B-420066.2,,"Aug 30, 2021","Dec 8, 2021",Bid Protest,Michael Willems,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:31,closed,https://www.gao.gov/docket/b-420020.1,Wandling Corporation,W9124J20R0032,Department of the Army,B-420020.1,,"Jul 26, 2021","Nov 3, 2021",Bid Protest,Paul N. Wengert,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:33,closed,https://www.gao.gov/docket/b-419855.2,"Bestica, Inc.",FA487721R0001,Department of the Air Force,B-419855.2,,"Aug 9, 2021","Nov 17, 2021",Bid Protest,Emily R. O'Hara,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:35,closed,https://www.gao.gov/docket/b-420057.1,"ManTech Advanced Systems International, Inc.",W900KK-20-R-0011,Department of the Army : U.S. Army Materiel Command,B-420057.1,,"Aug 10, 2021","Nov 18, 2021",Bid Protest,April Y. Shields,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:37,closed,https://www.gao.gov/docket/b-419910.2,"Sterling Medical Associates, Inc.",36C24219R0090,Department of Veterans Affairs,B-419910.2,,"Jul 26, 2021","Nov 3, 2021",Bid Protest,Mary G. Curcio,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:38,closed,https://www.gao.gov/docket/b-419910.1,"Sterling Medical Associates, Inc.",36C24219R0090,Department of Veterans Affairs,B-419910.1,,"Jun 14, 2021","Sep 22, 2021",Bid Protest,Mary G. Curcio,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:40,closed,https://www.gao.gov/docket/b-420066.1,"ACI Payments, Inc.",2032H5-19-R-00005,Department of the Treasury : Internal Revenue Service,B-420066.1,,"Aug 12, 2021","Nov 22, 2021",Bid Protest,Michael Willems,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:42,closed,https://www.gao.gov/docket/b-419956.12,Team HumanTouch,75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.12,,"Jul 30, 2021","Nov 8, 2021",Bid Protest,Jonathan L. Kang,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:47,closed,https://www.gao.gov/docket/b-420027.1,"Tachyon Alliance, LLC",H98230-21-R-0265,Department of Defense : National Security Agency/Central Security Service,B-420027.1,,"Jul 29, 2021","Nov 8, 2021",Bid Protest,Samantha Lee,Dismissed,"Aug 30, 2021",,
2021-10-07 10:58:48,closed,https://www.gao.gov/docket/b-420014.1,"Pecos Technical Solutions, LLC",89303320REM000073,Department of Energy,B-420014.1,,"Jul 26, 2021","Nov 3, 2021",Bid Protest,Alexander O. Levine,Dismissed,"Aug 27, 2021",,
2021-10-07 10:58:50,closed,https://www.gao.gov/docket/b-419419.3,"Silverstar Consulting, Inc.",W9124D20R0016,Department of the Army,B-419419.3,,"Jul 28, 2021","Nov 5, 2021",Bid Protest,Paula A. Williams,Dismissed,"Aug 27, 2021",,
2021-10-07 10:58:51,closed,https://www.gao.gov/docket/b-419419.4,Crowned Grace International,W9124D20R0016,Department of the Army,B-419419.4,,"Jul 28, 2021","Nov 5, 2021",Bid Protest,Paula A. Williams,Dismissed,"Aug 27, 2021",,
2021-10-07 10:58:54,closed,https://www.gao.gov/docket/b-419856.1,InfoPoint LLC,FA4890-21-R-0008,Department of the Air Force,B-419856.1,,"May 21, 2021","Aug 30, 2021",Bid Protest,Jonathan L. Kang,Sustained,"Aug 27, 2021",https://www.gao.gov/products/b-419856,"InfoPoint LLC, a small business of Livonia, Michigan, protests the terms of fair opportunity proposal request (FOPR) No. FA4890-21-R-0008, which was issued by the Department of the Air Force for command and control, intelligence, surveillance, and reconnaissance (C2ISR) support services. The protester argues that the solicitation's requirement that a joint venture competing for the award, as opposed to the members of the joint venture, must have a top secret facility clearance is inconsistent with statutory and regulatory provisions concerning the evaluation of the capabilities of the members of small business joint ventures.


        We sustain the protest."
2021-10-07 10:58:56,closed,https://www.gao.gov/docket/b-419887.3,"Insight Public Sector, Inc.",N66001-21-Q-0082,Department of the Navy : Naval Information Warfare Systems Command,B-419887.3,,"Jul 16, 2021","Oct 25, 2021",Bid Protest,Todd C. Culliton,Dismissed,"Aug 26, 2021",,
2021-10-07 10:58:57,closed,https://www.gao.gov/docket/b-419887.1,"Insight Public Sector, Inc.",N66001-21-Q-0082,Department of the Navy : Naval Information Warfare Systems Command,B-419887.1,,"Jun 7, 2021","Sep 15, 2021",Bid Protest,Todd C. Culliton,Dismissed,"Aug 26, 2021",,
2021-10-07 10:58:59,closed,https://www.gao.gov/docket/b-419887.2,"Insight Public Sector, Inc.",N66001-21-Q-0082,Department of the Navy : Naval Information Warfare Systems Command,B-419887.2,,"Jul 9, 2021","Oct 18, 2021",Bid Protest,Todd C. Culliton,Dismissed,"Aug 26, 2021",,
2021-10-07 10:59:01,closed,https://www.gao.gov/docket/b-420061.1,"Nagan Construction, Inc.",N40085-21-R-2552,Department of the Navy : Naval Facilities Engineering Command,B-420061.1,,"Aug 10, 2021","Nov 18, 2021",Bid Protest,Christine Milne,Dismissed,"Aug 26, 2021",,
2021-10-07 10:59:02,closed,https://www.gao.gov/docket/b-420036.1,"CueBid Technologies, Inc",W9124D-21-Q-6424,Department of the Army,B-420036.1,,"Aug 2, 2021","Nov 10, 2021",Bid Protest,Samantha Lee,Dismissed,"Aug 26, 2021",,
2021-10-07 10:59:05,closed,https://www.gao.gov/docket/b-418542.2,"Fidelity Decypher Services, LLC",FA805220R0002,Department of the Air Force,B-418542.2,,"May 26, 2021","Sep 3, 2021",Bid Protest,Paul N. Wengert,Denied,"Aug 26, 2021","https://www.gao.gov/products/b-418542.2,b-418542.3","Fidelity Decypher Services, LLC, of San Antonio, Texas, a small business, protests the award of contracts to WJM Professional Services, LLC, of Rockville, Maryland, and to IVA'AL Solutions, LLC, of Phoenix, Maryland, also small businesses, under request for proposals (RFP) No. FA8052-20-R-0002. The Department of the Air Force issued the RFP for commercial family advocacy personal healthcare services to support the family advocacy program for Air Force personnel, families, and intimate partners located in the continental United States (CONUS) and the United States Forces in Europe (USAFE). Fidelity primarily argues that the Air Force misevaluated its proposal under the past performance and technical factors.


        We deny the protest."
2021-10-07 10:59:07,closed,https://www.gao.gov/docket/b-419748.2,"Red Carrot, Inc.",86614320R00001,Department of Housing and Urban Development,B-419748.2,,"Jul 27, 2021","Nov 4, 2021",Bid Protest,Jacob Talcott,Dismissed,"Aug 26, 2021",,
2021-10-07 10:59:10,closed,https://www.gao.gov/docket/b-418546.6,"J's Associates, LLC",47PD0120Q0001,Independent Agencies and Govt Corporations : Public Buildings Service,B-418546.6,,"May 24, 2021","Sep 1, 2021",Bid Protest,Michael Willems,Denied,"Aug 26, 2021",https://www.gao.gov/products/b-418546.6,"J's Associates, a woman-owned small business of Dunkirk, Maryland, protests the issuance of a blanket purchase agreement (BPA) to Northern Management Services (NMS), a small business of Sandpoint, Idaho, under request for quotations No. 47PD0120Q0001 pursuant to the General Services Administration's (GSA) Federal Supply Schedule 03FAC, Facilities Maintenance and Management, by the GSA for facility operation and maintenance. The protester alleges the agency misevaluated its quotation and the awardee's quotation, and erred in its best-value tradeoff decision.


        We deny the protest."
2021-10-07 10:59:12,closed,https://www.gao.gov/docket/b-419906.1,"MAXIMUS Federal Services, Inc.",9531CB21Q0006,Independent Agencies and Govt Corporations : Consumer Financial Protection Bureau,B-419906.1,,"Jun 14, 2021","Sep 22, 2021",Bid Protest,Hannah G. Barnes,Withdrawn,"Aug 26, 2021",,
