docket_page_link,Protestor,Solicitation Number,Agency,File number,Outcome,Decision Date,Filed Date,Due Date,Case Type,GAO Attorney,Decision Summary,Decision Highlight
https://www.gao.gov/docket/b-419893.7,"Canfield Consulting Group, LLC",70RTAC21R00000003,Department of Homeland Security,B-419893.7,Dismissed,"Aug 19, 2021","Aug 6, 2021","Nov 15, 2021",Bid Protest,Mary G. Curcio,,
https://www.gao.gov/docket/b-419853.2,"G E Forestry, Inc.",1202SC21Q0001,Department of Agriculture : Forest Service,B-419853.2,Denied,"Aug 19, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Christine Milne,B-419853.2,"https://www.gao.gov/products/b-419853.2
Highlights


GE Forestry, Inc., of Central Point, Oregon, a small business, protests the establishment of blanket purchase agreements (BPA) with multiple other firms under request for quotations (RFQ) No. 1202SC21Q0001, issued by the Department of Agriculture, Forest Service, for wildland firefighter services. GE contends that its quotation was misevaluated as ""no-go"" under the RFQ's quote acceptability factor.

        We deny the protest."
https://www.gao.gov/docket/b-419853.1,"CSR Enterprises, Inc.",1202SC21Q0001,Department of Agriculture : Forest Service,B-419853.1,Denied,"Aug 19, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Paul N. Wengert,"B-419853,B-419853.8","https://www.gao.gov/products/b-419853,b-419853.8
Highlights


CSR Enterprises, Inc., of Dallas, Oregon, a small business, protests the establishment of blanket purchase agreements (BPA) with multiple other firms under request for quotations (RFQ) No. 1202SC21Q0001, issued by the Department of Agriculture, Forest Service, for wildland firefighter services. CSR contends that its quotation was misevaluated as ""no go"" under the RFQ's quote acceptability factor, that the agency evaluated vendors unequally under that factor, and that the price evaluation failed to assess price realism as the RFQ required.


        We deny the protest."
https://www.gao.gov/docket/b-419939.1,Hardwick Tactical Corporation,SPE1C1-20-R-0053,Department of Defense : Defense Logistics Agency,B-419939.1,Dismissed,"Aug 19, 2021","Jun 25, 2021","Oct 4, 2021",Bid Protest,Mary G. Curcio,,
https://www.gao.gov/docket/b-419168.3,"Nova Consulting, Inc.",W912EP-20-R-0030,Department of the Army : Corps of Engineers,B-419168.3,Denied,"Aug 19, 2021","May 28, 2021","Sep 7, 2021",Bid Protest,April Y. Shields,B-419168.3,"https://www.gao.gov/products/b-419168.3
Highlights


Nova Consulting, Inc., of Doral, Florida, protests the nonselection of its statement of qualifications, and the selection of Dynamic Solutions, LLC, of Knoxville, Tennessee, for negotiation of an architect-engineering services contract, pursuant to synopsis No. W912EP-20-R-0030 issued by the Department of the Army, U.S. Army Corps of Engineers, for water resource engineering services. Nova challenges the agency's evaluation of the protester's and awardee's statements of qualifications.


        We deny the protest."
https://www.gao.gov/docket/b-420041.1,"CM Manufacturing, Inc.",SPE4A6-21-T-19TU,Department of Defense : Defense Logistics Agency,B-420041.1,Dismissed,"Aug 19, 2021","Aug 4, 2021","Nov 12, 2021",Bid Protest,Heather Weiner,,
https://www.gao.gov/docket/b-419893.5,Four LLC,70RTAC21R00000003,Department of Homeland Security,B-419893.5,Dismissed,"Aug 19, 2021","Aug 6, 2021","Nov 15, 2021",Bid Protest,Mary G. Curcio,,
https://www.gao.gov/docket/b-418321.5,"Deloitte Consulting, LLP",RFP-CMS-191606,Department of Health and Human Services : Centers for Medicare and Medicaid Services,B-418321.5,Sustained,"Aug 19, 2021","May 14, 2021","Aug 23, 2021",Bid Protest,Glenn G. Wolcott,"B-418321.5,B-418321.6","https://www.gao.gov/products/b-418321.5,b-418321.6
Highlights


Deloitte Consulting, LLP, of Arlington, Virginia, protests the issuance of a task order to Accenture Federal Services, LLC (AFS) by the Department of Health & Human Services pursuant to task order request for proposals (TORP) No. 191606, for information technology services supporting the Centers for Medicare & Medicaid Services' (CMS) federally facilitated exchange (FFE). Deloitte protests that AFS's proposal failed to comply with the solicitation requirements regarding transition, and also challenges the agency's evaluation of AFS's proposal with regard to experience and cost/price.


        We sustain the protest in part and deny it in part."
https://www.gao.gov/docket/b-419844.1,"Done By Native, LLC",19J01021Q0032,Department of State,B-419844.1,Dismissed,"Aug 19, 2021","May 17, 2021","Aug 25, 2021",Bid Protest,Alexander O. Levine,B-419844,"https://www.gao.gov/products/b-419844
Highlights


Done by Native, LLC (DBN), a small business located in Clovis, New Mexico, protests the award of a contract to Al-Baher Arabic Language Center, located in Amman, Jordan, under request for quotations (RFQ) No. 19J01021Q0032, issued by the Department of State for Arabic language training for the U.S. Embassy in Amman, Jordan. The protester argues that its quotation was improperly rejected for noncompliance with the solicitation's pricing terms.


        We deny the protest in part and dismiss it in part."
https://www.gao.gov/docket/b-420022.1,"DJL Associates, LLC",8IL2363,Independent Agencies and Govt Corporations : Public Buildings Service,B-420022.1,Dismissed,"Aug 19, 2021","Jul 26, 2021","Nov 3, 2021",Bid Protest,Evan D. Wesser,,
https://www.gao.gov/docket/b-418321.6,"Deloitte Consulting, LLP",RFP-CMS-191606,Department of Health and Human Services : Centers for Medicare and Medicaid Services,B-418321.6,Sustained,"Aug 19, 2021","Jun 24, 2021","Oct 4, 2021",Bid Protest,Glenn G. Wolcott,"B-418321.5,B-418321.6","https://www.gao.gov/products/b-418321.5,b-418321.6
Highlights


Deloitte Consulting, LLP, of Arlington, Virginia, protests the issuance of a task order to Accenture Federal Services, LLC (AFS) by the Department of Health & Human Services pursuant to task order request for proposals (TORP) No. 191606, for information technology services supporting the Centers for Medicare & Medicaid Services' (CMS) federally facilitated exchange (FFE). Deloitte protests that AFS's proposal failed to comply with the solicitation requirements regarding transition, and also challenges the agency's evaluation of AFS's proposal with regard to experience and cost/price.


        We sustain the protest in part and deny it in part."
https://www.gao.gov/docket/b-419978.1,"Grey Ghost, LLC",HQ051621R0008,Department of Defense : Defense Media Activity,B-419978.1,Dismissed,"Aug 18, 2021","Jul 12, 2021","Oct 20, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-419560.5,Northrop Grumman Systems Corporation-  Mission Systems,N00019-19-R-0069,Department of the Navy : Naval Air Systems Command,B-419560.5,Sustained,"Aug 18, 2021","Jun 1, 2021","Sep 9, 2021",Bid Protest,Sarah T. Zaffina,"B-419560.3,B-419560.4,B-419560.5,B-419560.7","https://www.gao.gov/products/b-419560.3,b-419560.4,b-419560.5,b-419560.7
Highlights


Northrop Grumman Systems Corporation--Mission Systems (Northrop), of Bethpage, New York, protests the award of a contract to L3 Technologies, Inc. Communication Systems-West (L3Harris), of Salt Lake City, Utah, under request for proposals (RFP) No. N00019-19-R-0069, issued by the Department of the Navy, Naval Air Systems Command (NAVAIR), for an aircraft-mounted jamming system for low band radar. This procurement is referred to as the Next Generation Jammer-Low Band (NGJ-LB) Capability Block 1 (CB-1) acquisition. The protester alleges that the agency failed to reasonably consider the impact of an apparent conflict of interest stemming from the actions of a government employee who developed specifications for the solicitation while at the same time negotiated for employment with L3Harris, a competitor and ultimate awardee under the solicitation.


        We sustain the protest."
https://www.gao.gov/docket/b-419557.4,Northrop Grumman Systems Corporation-  Mission Systems,N00019-19-R-0069-A,Department of the Navy : Naval Air Systems Command,B-419557.4,Denied,"Aug 18, 2021","Jun 3, 2021","Sep 13, 2021",Bid Protest,Sarah T. Zaffina,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-420058.1,"Ortho-Clinical Diagnostics, Inc.",W91YTZ20Q0079,Department of the Army,B-420058.1,Withdrawn,"Aug 18, 2021","Aug 10, 2021","Nov 18, 2021",Bid Protest,Christopher Alwood,,
https://www.gao.gov/docket/b-419893.4,"DH Technologies, LLC",70RTAC21R00000003,Department of Homeland Security,B-419893.4,Dismissed,"Aug 18, 2021","Aug 2, 2021","Nov 10, 2021",Bid Protest,Mary G. Curcio,,
https://www.gao.gov/docket/b-419560.3,Northrop Grumman Systems Corporation-  Mission Systems,N00019-19-R-0069,Department of the Navy : Naval Air Systems Command,B-419560.3,Sustained,"Aug 18, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,Sarah T. Zaffina,"B-419560.3,B-419560.4,B-419560.5,B-419560.7","https://www.gao.gov/products/b-419560.3,b-419560.4,b-419560.5,b-419560.7
Highlights


Northrop Grumman Systems Corporation--Mission Systems (Northrop), of Bethpage, New York, protests the award of a contract to L3 Technologies, Inc. Communication Systems-West (L3Harris), of Salt Lake City, Utah, under request for proposals (RFP) No. N00019-19-R-0069, issued by the Department of the Navy, Naval Air Systems Command (NAVAIR), for an aircraft-mounted jamming system for low band radar. This procurement is referred to as the Next Generation Jammer-Low Band (NGJ-LB) Capability Block 1 (CB-1) acquisition. The protester alleges that the agency failed to reasonably consider the impact of an apparent conflict of interest stemming from the actions of a government employee who developed specifications for the solicitation while at the same time negotiated for employment with L3Harris, a competitor and ultimate awardee under the solicitation.


        We sustain the protest."
https://www.gao.gov/docket/b-420056.1,White Company,9MO2357,Independent Agencies and Govt Corporations : Public Buildings Service,B-420056.1,Dismissed,"Aug 18, 2021","Aug 10, 2021","Nov 18, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-419557.2,Northrop Grumman Systems Corporation-  Mission Systems,N00019-19-R-0069-A,Department of the Navy : Naval Air Systems Command,B-419557.2,Denied,"Aug 18, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,Sarah T. Zaffina,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-419560.4,Northrop Grumman Systems Corporation-  Mission Systems,N00019-19-R-0069,Department of the Navy : Naval Air Systems Command,B-419560.4,Sustained,"Aug 18, 2021","May 13, 2021","Aug 23, 2021",Bid Protest,Sarah T. Zaffina,"B-419560.3,B-419560.4,B-419560.5,B-419560.7","https://www.gao.gov/products/b-419560.3,b-419560.4,b-419560.5,b-419560.7
Highlights


Northrop Grumman Systems Corporation--Mission Systems (Northrop), of Bethpage, New York, protests the award of a contract to L3 Technologies, Inc. Communication Systems-West (L3Harris), of Salt Lake City, Utah, under request for proposals (RFP) No. N00019-19-R-0069, issued by the Department of the Navy, Naval Air Systems Command (NAVAIR), for an aircraft-mounted jamming system for low band radar. This procurement is referred to as the Next Generation Jammer-Low Band (NGJ-LB) Capability Block 1 (CB-1) acquisition. The protester alleges that the agency failed to reasonably consider the impact of an apparent conflict of interest stemming from the actions of a government employee who developed specifications for the solicitation while at the same time negotiated for employment with L3Harris, a competitor and ultimate awardee under the solicitation.


        We sustain the protest."
https://www.gao.gov/docket/b-419560.7,Northrop Grumman Systems Corporation-  Mission Systems,N00019-19-R-0069,Department of the Navy : Naval Air Systems Command,B-419560.7,Sustained,"Aug 18, 2021","Jul 1, 2021","Oct 12, 2021",Bid Protest,Sarah T. Zaffina,"B-419560.3,B-419560.4,B-419560.5,B-419560.7","https://www.gao.gov/products/b-419560.3,b-419560.4,b-419560.5,b-419560.7
Highlights


Northrop Grumman Systems Corporation--Mission Systems (Northrop), of Bethpage, New York, protests the award of a contract to L3 Technologies, Inc. Communication Systems-West (L3Harris), of Salt Lake City, Utah, under request for proposals (RFP) No. N00019-19-R-0069, issued by the Department of the Navy, Naval Air Systems Command (NAVAIR), for an aircraft-mounted jamming system for low band radar. This procurement is referred to as the Next Generation Jammer-Low Band (NGJ-LB) Capability Block 1 (CB-1) acquisition. The protester alleges that the agency failed to reasonably consider the impact of an apparent conflict of interest stemming from the actions of a government employee who developed specifications for the solicitation while at the same time negotiated for employment with L3Harris, a competitor and ultimate awardee under the solicitation.


        We sustain the protest."
https://www.gao.gov/docket/b-419557.3,Northrop Grumman Systems Corporation-  Mission Systems,N00019-19-R-0069-A,Department of the Navy : Naval Air Systems Command,B-419557.3,Denied,"Aug 18, 2021","May 13, 2021","Aug 23, 2021",Bid Protest,Sarah T. Zaffina,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-419985.1,"Candor Solutions, LLC",NIMH21000924RFP,Department of Health and Human Services : National Institutes of Health,B-419985.1,Dismissed,"Aug 18, 2021","Jul 13, 2021","Oct 21, 2021",Bid Protest,Mary G. Curcio,,
https://www.gao.gov/docket/b-420060.1,"SLS Federal Services, LLC",N62470-20-R-5003,Department of the Navy : Naval Facilities Engineering Command,B-420060.1,Dismissed,"Aug 18, 2021","Aug 10, 2021","Nov 18, 2021",Bid Protest,Evan D. Wesser,,
https://www.gao.gov/docket/b-419976.1,"Information Technology Coalition, Inc.",70CTD021Q0000091,Department of Homeland Security : United States Immigration and Customs Enforcement,B-419976.1,Dismissed,"Aug 18, 2021","Jul 12, 2021","Oct 20, 2021",Bid Protest,Michael P. Grogan,,
https://www.gao.gov/docket/b-419560.6,Northrop Grumman Systems Corporation-  Mission Systems,N00019-19-R-0069,Department of the Navy : Naval Air Systems Command,B-419560.6,Sustained,"Aug 18, 2021","Jul 2, 2021","Oct 12, 2021",Bid Protest,Sarah T. Zaffina,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-418841.2,"Arkel International, LLC",19AQMM-20R-RANGOONMNOX,Department of State,B-418841.2,Dismissed,"Aug 17, 2021","Jul 29, 2021","Nov 8, 2021",Bid Protest,U R. Yoo,,
https://www.gao.gov/docket/b-418841.3,Zafer Taahut Insaat ve Ticaret AS,19AQMM-20R-RANGOONMNOX,Department of State,B-418841.3,Dismissed,"Aug 17, 2021","Jul 29, 2021","Nov 8, 2021",Bid Protest,U R. Yoo,,
https://www.gao.gov/docket/b-419869.2,"Chronos Solutions, LLC",86616021R00002,Department of Housing and Urban Development,B-419869.2,Withdrawn,"Aug 17, 2021","Jun 21, 2021","Sep 29, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-419838.2,"Terra Klean Solutions, Inc.",W81K04-19-R-0031,Department of the Army,B-419838.2,Denied,"Aug 17, 2021","Jun 21, 2021","Sep 29, 2021",Bid Protest,Paula A. Williams,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-419893.14,"GovSmart, Inc.",70RTAC21R00000003,Department of Homeland Security,B-419893.14,Withdrawn,"Aug 17, 2021","Aug 6, 2021","Nov 15, 2021",Bid Protest,Mary G. Curcio,,
https://www.gao.gov/docket/b-418726.5,"People, Technology and Processes, LLC",W9124L-20-R0016,Department of the Army,B-418726.5,Denied,"Aug 17, 2021","May 19, 2021","Aug 27, 2021",Bid Protest,Raymond Richards,"B-418726.5,B-418726.6","https://www.gao.gov/products/b-418726.5,b-418726.6
Highlights


People, Technology & Processes, LLC (PTP), a service-disabled veteran-owned small business (SDVOSB) of Tampa, Florida, protests the issuance of a task order to Cornerstone Signals & Cyber Technologies, LLC (Cornerstone), an SDVOSB of Christoval, Texas, by the Department of the Army under request for quotations (RFQ) No. W9124L20R0016, for personnel to support the joint fire support specialist (13F) course at Fort Sill, Oklahoma. The protester argues that the agency's evaluation of quotations was flawed because it did not include a price realism analysis, and that a latent ambiguity in the solicitation prevented vendors from competing on an equal basis.

        We deny the protest."
https://www.gao.gov/docket/b-419838.1,"Terra Klean Solutions, Inc.",W81K04-19-R-0031,Department of the Army,B-419838.1,Denied,"Aug 17, 2021","May 12, 2021","Aug 20, 2021",Bid Protest,Paula A. Williams,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-419957.1,"SSPC, LLC",W912QR21R0009,Department of the Army : Corps of Engineers,B-419957.1,Withdrawn,"Aug 17, 2021","Jul 1, 2021","Oct 12, 2021",Bid Protest,Hannah G. Barnes,,
https://www.gao.gov/docket/b-418726.6,"People, Technology and Processes, LLC",W9124L-20-R0016,Department of the Army,B-418726.6,Denied,"Aug 17, 2021","Jul 1, 2021","Oct 12, 2021",Bid Protest,Raymond Richards,"B-418726.5,B-418726.6","https://www.gao.gov/products/b-418726.5,b-418726.6
Highlights


People, Technology & Processes, LLC (PTP), a service-disabled veteran-owned small business (SDVOSB) of Tampa, Florida, protests the issuance of a task order to Cornerstone Signals & Cyber Technologies, LLC (Cornerstone), an SDVOSB of Christoval, Texas, by the Department of the Army under request for quotations (RFQ) No. W9124L20R0016, for personnel to support the joint fire support specialist (13F) course at Fort Sill, Oklahoma. The protester argues that the agency's evaluation of quotations was flawed because it did not include a price realism analysis, and that a latent ambiguity in the solicitation prevented vendors from competing on an equal basis.

        We deny the protest."
https://www.gao.gov/docket/b-419869.3,"Chronos Solutions, LLC",86616021R00002,Department of Housing and Urban Development,B-419869.3,Withdrawn,"Aug 17, 2021","Jul 6, 2021","Oct 14, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-420026.1,"CyberCentric Technologies, Inc.",X20-3,Department of the Air Force,B-420026.1,Dismissed,"Aug 17, 2021","Jul 28, 2021","Nov 5, 2021",Bid Protest,Evan D. Wesser,,
https://www.gao.gov/docket/b-420028.1,"ServiceSource, Inc.",75FCMC18C0015,Department of Health and Human Services : Centers for Medicare and Medicaid Services,B-420028.1,Withdrawn,"Aug 17, 2021","Jul 29, 2021","Nov 8, 2021",Bid Protest,April Y. Shields,,
https://www.gao.gov/docket/b-419880.1,"HumanTouch, LLC",N0042121R3000,Department of the Navy : Naval Air Systems Command,B-419880.1,Denied,"Aug 16, 2021","Jun 3, 2021","Sep 13, 2021",Bid Protest,Heather Self,"B-419880,B-419880.2,B-419880.3","https://www.gao.gov/products/b-419880,b-419880.2,b-419880.3
Highlights


HumanTouch, LLC, a small business of McLean, Virginia, protests the issuance of a task order to PSI Pax, Inc., a small business of California, Maryland, under request for proposals (RFP) No. N00421-21-R-3000, issued by the Department of the Navy, Naval Air Systems Command for information technology (IT) services. The protester argues that the agency improperly deemed the firm's proposal ineligible for award, and also contends that the agency evaluated in a disparate manner.


        We deny the protest."
https://www.gao.gov/docket/b-420044.1,"California Industrial Facilities Resources, Inc. DBA  CAMSS Shelters",FA442721Q0109,Department of the Air Force,B-420044.1,Dismissed,"Aug 16, 2021","Aug 4, 2021","Nov 12, 2021",Bid Protest,Christine Milne,,
https://www.gao.gov/docket/b-420042.1,"KTS Solutions, Inc.",36C24821R0088,Department of Veterans Affairs,B-420042.1,Dismissed,"Aug 16, 2021","Aug 4, 2021","Nov 12, 2021",Bid Protest,April Y. Shields,,
https://www.gao.gov/docket/b-419965.1,SparkSoft Corporation,210476,Department of Health and Human Services : Centers for Medicare and Medicaid Services,B-419965.1,Withdrawn,"Aug 16, 2021","Jul 6, 2021","Oct 14, 2021",Bid Protest,Alexander O. Levine,,
https://www.gao.gov/docket/b-419862.3,TekSynap Corporation,1332KQ20RNEEA0003,Department of Commerce : National Oceanic and Atmospheric Administration,B-419862.3,Dismissed,"Aug 16, 2021","Jul 19, 2021","Oct 27, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-417498.3,Xerox Corporation,SP7000-19-R-1001,Department of Defense : Defense Logistics Agency,B-417498.3,Denied,"Aug 16, 2021","May 24, 2021","Sep 1, 2021",Bid Protest,Scott H. Riback,"B-417498.2,B-417498.3","https://www.gao.gov/products/b-417498.2,b-417498.3
Highlights


Xerox Corporation, of Washington, D.C., protests the award of a contract to Trident Engineering and Procurement, Inc., of Pottsville, Pennsylvania, under request for proposals (RFP) No. SP7000-19-R-1001, issued by the Defense Logistics Agency (DLA) for an array of shipboard multipurpose devices, along with supplies and support services. Xerox argues that the agency conducted an improperly administered reverse auction and also misevaluated the awardee's proposal.


        We deny the protest."
https://www.gao.gov/docket/b-420023.1,"SiloSmashers, Inc.",RFQ1405658,Independent Agencies and Govt Corporations : Environmental Protection Agency,B-420023.1,Dismissed,"Aug 16, 2021","Jul 26, 2021","Nov 3, 2021",Bid Protest,Charmaine Stevenson,,
https://www.gao.gov/docket/b-419880.3,"HumanTouch, LLC",N0042121R3000,Department of the Navy : Naval Air Systems Command,B-419880.3,Denied,"Aug 16, 2021","Jul 29, 2021","Nov 8, 2021",Bid Protest,Heather Self,"B-419880,B-419880.2,B-419880.3","https://www.gao.gov/products/b-419880,b-419880.2,b-419880.3
Highlights


HumanTouch, LLC, a small business of McLean, Virginia, protests the issuance of a task order to PSI Pax, Inc., a small business of California, Maryland, under request for proposals (RFP) No. N00421-21-R-3000, issued by the Department of the Navy, Naval Air Systems Command for information technology (IT) services. The protester argues that the agency improperly deemed the firm's proposal ineligible for award, and also contends that the agency evaluated in a disparate manner.


        We deny the protest."
https://www.gao.gov/docket/b-419862.2,TekSynap Corporation,1332KQ20RNEEA0003,Department of Commerce : National Oceanic and Atmospheric Administration,B-419862.2,Dismissed,"Aug 16, 2021","Jul 6, 2021","Oct 14, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-419862.1,TekSynap Corporation,1332KQ20RNEEA0003,Department of Commerce : National Oceanic and Atmospheric Administration,B-419862.1,Dismissed,"Aug 16, 2021","May 24, 2021","Sep 1, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-419956.9,Pluribus Digital,75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.9,Dismissed,"Aug 16, 2021","Jul 22, 2021","Nov 1, 2021",Bid Protest,Jonathan L. Kang,,
https://www.gao.gov/docket/b-419880.2,"HumanTouch, LLC",N0042121R3000,Department of the Navy : Naval Air Systems Command,B-419880.2,Denied,"Aug 16, 2021","Jul 6, 2021","Oct 14, 2021",Bid Protest,Heather Self,"B-419880,B-419880.2,B-419880.3","https://www.gao.gov/products/b-419880,b-419880.2,b-419880.3
Highlights


HumanTouch, LLC, a small business of McLean, Virginia, protests the issuance of a task order to PSI Pax, Inc., a small business of California, Maryland, under request for proposals (RFP) No. N00421-21-R-3000, issued by the Department of the Navy, Naval Air Systems Command for information technology (IT) services. The protester argues that the agency improperly deemed the firm's proposal ineligible for award, and also contends that the agency evaluated in a disparate manner.


        We deny the protest."
https://www.gao.gov/docket/b-417498.2,Xerox Corporation,SP7000-19-R-1001,Department of Defense : Defense Logistics Agency,B-417498.2,Denied,"Aug 16, 2021","May 6, 2021","Aug 16, 2021",Bid Protest,Scott H. Riback,"B-417498.2,B-417498.3","https://www.gao.gov/products/b-417498.2,b-417498.3
Highlights


Xerox Corporation, of Washington, D.C., protests the award of a contract to Trident Engineering and Procurement, Inc., of Pottsville, Pennsylvania, under request for proposals (RFP) No. SP7000-19-R-1001, issued by the Defense Logistics Agency (DLA) for an array of shipboard multipurpose devices, along with supplies and support services. Xerox argues that the agency conducted an improperly administered reverse auction and also misevaluated the awardee's proposal.


        We deny the protest."
https://www.gao.gov/docket/b-418631.8,"Apex Transit Solutions, LLC",36C25020Q0093,Department of Veterans Affairs,B-418631.8,Granted,"Aug 13, 2021","May 6, 2021","Aug 16, 2021",Bid Protest: Entitlement,Kasia Dourney,B-418631.8,"https://www.gao.gov/products/b-418631.8
Highlights

 
Apex Transit Solutions, LLC, a small business of Cleveland, Ohio, requests that our Office recommend that the firm be reimbursed the reasonable costs of filing and pursuing its protests of the contract awards to GC Logistics, LLC, a service-disabled veteran-owned small business, of Ridgeland, Mississippi. The contract awards were made under requests for quotations (RFQ) Nos. 36C25019Q0494 and 36C25020Q0093, issued by the Department of Veterans Affairs (VA) for ambulette transportation services for the VA Cleveland Healthcare System located in Cleveland, Ohio. Apex contends that the VA failed to properly implement multiple corrective actions taken in response to protests related to this procurement. In its most recent protests, Apex challenged the agency's evaluation of past performance and price, the agency's best-value tradeoff determination, and alleged disparate treatment.
 

We grant the request in part and dismiss it in part."
https://www.gao.gov/docket/b-420034.1,"Cardno Emerging Markets USA, Ltd.",7200AA20R00043,Independent Agencies and Govt Corporations : United States Agency for International Development,B-420034.1,Dismissed,"Aug 13, 2021","Jul 30, 2021","Nov 8, 2021",Bid Protest,Christopher Alwood,,
https://www.gao.gov/docket/b-419942.1,"Quality Innovation, Inc.",1489978,Department of the Army,B-419942.1,Withdrawn,"Aug 13, 2021","Jun 25, 2021","Oct 4, 2021",Bid Protest,Christopher An,,
https://www.gao.gov/docket/b-419000.4,"Cooper/Ports America, LLC",HTC711-20-R-R002,Department of the Air Force,B-419000.4,Dismissed,"Aug 13, 2021","May 27, 2021","Sep 7, 2021",Bid Protest,Christopher Alwood,,
https://www.gao.gov/docket/b-419987.1,Roche Diagnostics Corporation,N6264521R0010,Department of the Navy : Naval Supply Systems Command,B-419987.1,Dismissed,"Aug 12, 2021","Jul 14, 2021","Oct 22, 2021",Bid Protest,Charmaine Stevenson,,
https://www.gao.gov/docket/b-420032.1,"HERE North America, LLC",273FCC21R0005,Independent Agencies and Govt Corporations : Federal Communications Commission,B-420032.1,Dismissed,"Aug 12, 2021","Jul 30, 2021","Nov 8, 2021",Bid Protest,Michael Willems,,
https://www.gao.gov/docket/b-419993.1,"Rural Route 2, LLC-  DBA NSN Solutions",SPE7L5-21-T-3138,Department of Defense : Defense Logistics Agency,B-419993.1,Withdrawn,"Aug 12, 2021","Jul 16, 2021","Oct 25, 2021",Bid Protest,Christopher An,,
https://www.gao.gov/docket/b-419961.2,Science Applications International Corporation,80JSC020R0039,Independent Agencies and Govt Corporations : National Aeronautics and Space Administration,B-419961.2,Dismissed,"Aug 12, 2021","Jul 12, 2021","Oct 20, 2021",Bid Protest,Heather Weiner,,
https://www.gao.gov/docket/b-420018.1,"Prime Source Technologies, LLC",YA1323-21-MG-0001,Department of Commerce : Bureau of the Census,B-420018.1,Dismissed,"Aug 12, 2021","Jul 26, 2021","Nov 3, 2021",Bid Protest,Raymond Richards,,
https://www.gao.gov/docket/b-419875.1,"Continuity Global Solutions-Secure Me WLL Security, JV",19AQMM21R0012,Department of State,B-419875.1,Dismissed,"Aug 12, 2021","Jun 1, 2021","Sep 9, 2021",Bid Protest,U R. Yoo,B-419875,"https://www.gao.gov/products/b-419875
Highlights


Continuity Global Solutions-Secure Me WLL Security Joint Venture (CGS-SM) of Falls Church, Virginia, protests the rejection of the proposal it submitted in response to request for proposals (RFP) No. 19AQMM21R0012, issued by the Department of State for the provision of local guard services at the United States embassy in Bahrain. The protester contends that the agency improperly rejected its proposal because it was not registered in the system for award management (SAM) at the time of contract award.


        We dismiss the protest because, as filed with our Office, it does not establish a valid basis for challenging the agency's action."
https://www.gao.gov/docket/b-419961.1,Science Applications International Corporation,80JSC020R0039,Independent Agencies and Govt Corporations : National Aeronautics and Space Administration,B-419961.1,Dismissed,"Aug 12, 2021","Jul 6, 2021","Oct 14, 2021",Bid Protest,Heather Weiner,,
https://www.gao.gov/docket/b-419945.1,"Gruene Shredding, LLC",PANMCC-21-P-0000-008702,Department of the Army,B-419945.1,Dismissed,"Aug 11, 2021","Jun 28, 2021","Oct 6, 2021",Bid Protest,Christopher An,,
https://www.gao.gov/docket/b-419899.1,"Dolphin Park TT, LLC",6FL0544,Independent Agencies and Govt Corporations : Public Buildings Service,B-419899.1,Dismissed,"Aug 11, 2021","Jun 10, 2021","Sep 20, 2021",Bid Protest,Glenn G. Wolcott,B-419899,"https://www.gao.gov/products/b-419899
Highlights


Dolphin Park TT, LLC, of New York, New York, protests the General Services Administration's (GSA) award of a lease to Imperium Equity Partners, LLC, pursuant to request for lease proposals (RLP) No. 6FL0544 to provide office space in the Miami, Florida area. Dolphin Park challenges various aspects of the agency's evaluation and source selection process.


        We dismiss the protest."
