docket_page_link,Protestor,Solicitation Number,Agency,File number,Outcome,Decision Date,Filed Date,Due Date,Case Type,GAO Attorney,Decision Summary
https://www.gao.gov/docket/b-419864.2,"C Martin Company, Inc.",W912HP-20-R-2000,Department of the Army : Corps of Engineers,B-419864.2,Dismissed,"Jun 24, 2021","Jun 2, 2021","Sep 10, 2021",Bid Protest,Kasia Dourney,
https://www.gao.gov/docket/b-419080.2,"ASI Government, Inc.",TIB-2020-RFQ-0021,Independent Agencies and Govt Corporations : Federal Retirement Thrift Investment Board,B-419080.2,Denied,"Jun 24, 2021","Mar 19, 2021","Jun 28, 2021",Bid Protest,Raymond Richards,"B-419080.2,B-419080.3"
https://www.gao.gov/docket/b-419864.3,"C Martin Company, Inc.",W912HP-20-R-2000,Department of the Army : Corps of Engineers,B-419864.3,Dismissed,"Jun 24, 2021","Jun 7, 2021","Sep 15, 2021",Bid Protest,Kasia Dourney,
https://www.gao.gov/docket/b-419691.1,"RCG of North Carolina, LLC",36C776-21-AP-1740,Department of Veterans Affairs,B-419691.1,Denied,"Jun 24, 2021","Mar 22, 2021","Jun 30, 2021",Bid Protest,Young H. Cho,B-419691
https://www.gao.gov/docket/b-419080.3,"ASI Government, Inc.",TIB-2020-RFQ-0021,Independent Agencies and Govt Corporations : Federal Retirement Thrift Investment Board,B-419080.3,Denied,"Jun 24, 2021","Apr 29, 2021","Aug 9, 2021",Bid Protest,Raymond Richards,"B-419080.2,B-419080.3"
https://www.gao.gov/docket/b-419818.2,"SanDow Construction, Inc.",N4008019R0001,Department of the Navy : Naval Facilities Engineering Command,B-419818.2,Dismissed,"Jun 23, 2021","Jun 3, 2021","Sep 13, 2021",Bid Protest,Mary G. Curcio,
https://www.gao.gov/docket/b-419879.1,"KTS Solutions, Inc.",36C25721Q0796;36C25721Q0801,Department of Veterans Affairs,B-419879.1,Dismissed,"Jun 23, 2021","Jun 1, 2021","Sep 9, 2021",Bid Protest,Paula A. Williams,
https://www.gao.gov/docket/b-419865.1,"N&S Property Services, LLC",47PD0121Q0007,Independent Agencies and Govt Corporations : Public Buildings Service,B-419865.1,Dismissed,"Jun 23, 2021","May 25, 2021","Sep 2, 2021",Bid Protest,Young H. Cho,
https://www.gao.gov/docket/b-419876.1,"KTS Solutions, Inc.",36C25721Q0796,Department of Veterans Affairs,B-419876.1,Dismissed,"Jun 23, 2021","Jun 1, 2021","Sep 9, 2021",Bid Protest,Paula A. Williams,
https://www.gao.gov/docket/b-419877.1,"KTS Solutions, Inc.",36C25721Q0796;36C25721Q0799,Department of Veterans Affairs,B-419877.1,Dismissed,"Jun 23, 2021","Jun 1, 2021","Sep 9, 2021",Bid Protest,Paula A. Williams,
https://www.gao.gov/docket/b-419878.1,"KTS Solutions, Inc.",36C25721Q0796;36C25721Q0800,Department of Veterans Affairs,B-419878.1,Dismissed,"Jun 23, 2021","Jun 1, 2021","Sep 9, 2021",Bid Protest,Paula A. Williams,
https://www.gao.gov/docket/b-419252.3,"All-Rite Construction, Inc.",140P1220R0007,Department of the Interior : National Park Service,B-419252.3,Dismissed,"Jun 23, 2021","Mar 29, 2021","Jul 7, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-419252.4,"All-Rite Construction, Inc.",140P1220R0007,Department of the Interior : National Park Service,B-419252.4,Dismissed,"Jun 23, 2021","May 12, 2021","Aug 20, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-419825.1,Mena Broadcasting Services,W56PFY21Q0021,Department of the Army,B-419825.1,Dismissed,"Jun 23, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,Samantha Lee,
https://www.gao.gov/docket/b-418906.4,"TEN21 Capital, LLC",VA255-18-R-0517,Department of Veterans Affairs,B-418906.4,Dismissed,"Jun 23, 2021","Feb 12, 2021","May 24, 2021",Bid Protest: Reconsideration,Christina Sklarew,B-418906.4
https://www.gao.gov/docket/b-418797.4,"Iron Mountain Information Management, LLC",36C10E20Q0090,Department of Veterans Affairs,B-418797.4,Granted,"Jun 23, 2021","Mar 24, 2021","Jul 2, 2021",Bid Protest: Entitlement,Mary G. Curcio,B-418797.4
https://www.gao.gov/docket/b-419848.1,Guidehouse LLP,70US0921Q70090020,Department of Homeland Security : United States Secret Service,B-419848.1,Dismissed,"Jun 22, 2021","May 19, 2021","Aug 27, 2021",Bid Protest,Heather Self,
https://www.gao.gov/docket/b-419853.3,"G H Ranch, LLC",1202SC21Q0001,Department of Agriculture : Forest Service,B-419853.3,Dismissed,"Jun 22, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-419853.4,Big Bark Chippers,1202sc21q0001,Department of Agriculture : Forest Service,B-419853.4,Dismissed,"Jun 22, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-418776.5,"Integrity Management Consulting, Inc.",70RCSA20Q00000028,Department of Homeland Security,B-418776.5,Denied,"Jun 22, 2021","Mar 23, 2021","Jul 1, 2021",Bid Protest,Todd C. Culliton,B-418776.5
https://www.gao.gov/docket/b-418776.7,"Federal Acquisition Services Team OASIS JV, LLC",70RCSA20Q00000028,Department of Homeland Security,B-418776.7,Denied,"Jun 22, 2021","May 3, 2021","Aug 11, 2021",Bid Protest,Scott H. Riback,"B-418776.6,B-418776.7"
https://www.gao.gov/docket/b-419773.1,"EnviroSolutions, Inc.",W911XK20R0009,Department of the Army : Corps of Engineers,B-419773.1,Withdrawn,"Jun 22, 2021","Apr 23, 2021","Aug 2, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-419853.10,"Ponderosa Timberland, Inc.",1202SC21Q0001,Department of Agriculture : Forest Service,B-419853.10,Dismissed,"Jun 22, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Paul N. Wengert,
https://www.gao.gov/docket/b-419848.2,"Kearney & Company, PC",70US0921Q70090020,Department of Homeland Security : United States Secret Service,B-419848.2,Dismissed,"Jun 22, 2021","May 19, 2021","Aug 27, 2021",Bid Protest,Heather Self,
https://www.gao.gov/docket/b-419737.2,"International Center for Language Studies, Inc.",15DDHQ21Q00000002,Department of Justice : Drug Enforcement Administration,B-419737.2,Dismissed,"Jun 22, 2021","May 24, 2021","Sep 1, 2021",Bid Protest,Mercedes Wilson-Barthes,
https://www.gao.gov/docket/b-419668.2,"Aerospace Training Systems Partners, LLC",W56HZV-20-R-L850,Department of the Army : U.S. Army Materiel Command,B-419668.2,Denied,"Jun 22, 2021","Apr 26, 2021","Aug 4, 2021",Bid Protest,Sarah T. Zaffina,"B-419668,B-419668.2"
https://www.gao.gov/docket/b-419670.1,Allegiance Environmental Services,W81K0221R0003,Department of the Army,B-419670.1,Denied,"Jun 22, 2021","Mar 15, 2021","Jun 23, 2021",Bid Protest,Christopher An,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-419737.1,"International Center for Language Studies, Inc.",15DDHQ21Q00000002,Department of Justice : Drug Enforcement Administration,B-419737.1,Dismissed,"Jun 22, 2021","Apr 8, 2021","Jul 19, 2021",Bid Protest,Mercedes Wilson-Barthes,
https://www.gao.gov/docket/b-419668.1,"Aerospace Training Systems Partners, LLC",W56HZV-20-R-L850,Department of the Army : U.S. Army Materiel Command,B-419668.1,Denied,"Jun 22, 2021","Mar 15, 2021","Jun 23, 2021",Bid Protest,Sarah T. Zaffina,"B-419668,B-419668.2"
https://www.gao.gov/docket/b-419898.1,Mobile Medical International Corp.,36C77621R0035,Department of Veterans Affairs,B-419898.1,Dismissed,"Jun 22, 2021","Jun 10, 2021","Sep 20, 2021",Bid Protest,Alexander O. Levine,
https://www.gao.gov/docket/b-419853.6,"Imperial Forestry, Inc.",1202SC21Q0001,Department of Agriculture : Forest Service,B-419853.6,Dismissed,"Jun 22, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-418776.6,"Federal Acquisition Services Team OASIS JV, LLC",70RCSA20Q00000028,Department of Homeland Security,B-418776.6,Denied,"Jun 22, 2021","Mar 23, 2021","Jul 1, 2021",Bid Protest,Scott H. Riback,"B-418776.6,B-418776.7"
https://www.gao.gov/docket/b-419852.1,Navarre Corporation,36C26121D0071,Department of Veterans Affairs,B-419852.1,Dismissed,"Jun 22, 2021","May 20, 2021","Aug 30, 2021",Bid Protest,April Y. Shields,
https://www.gao.gov/docket/b-419416.3,"Potomac River Group, LLC.",RFQ1427334,Department of the Air Force,B-419416.3,Denied,"Jun 21, 2021","Apr 28, 2021","Aug 6, 2021",Bid Protest: Entitlement,Stephanie B. Magnell,B-419416.3
https://www.gao.gov/docket/b-419895.1,"California Industrial Facilities Resources, Inc. DBA  CAMSS Shelters",FA5682-21-Q-5040,Department of the Air Force,B-419895.1,Dismissed,"Jun 21, 2021","Jun 8, 2021","Sep 16, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-419671.1,"UDC USA, Inc.",W15QKN20R0072,Department of the Army : U.S. Army Materiel Command,B-419671.1,Denied,"Jun 21, 2021","Mar 15, 2021","Jun 23, 2021",Bid Protest,Hannah G. Barnes,B-419671
https://www.gao.gov/docket/b-419861.1,"Tribal EM, PLLC",RFP-75H70621Q00002,Department of Health and Human Services : Indian Health Service,B-419861.1,Dismissed,"Jun 21, 2021","May 24, 2021","Sep 1, 2021",Bid Protest,Jacob Talcott,
https://www.gao.gov/docket/b-419832.1,"BH Aircraft Company, Inc.",N0038321R003C,Department of the Navy : Naval Supply Systems Command,B-419832.1,Dismissed,"Jun 21, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,April Y. Shields,
https://www.gao.gov/docket/b-419573.2,"Betty Foster Roofing, LLC",36C77621R0023,Department of Veterans Affairs,B-419573.2,Denied,"Jun 17, 2021","Mar 15, 2021","Jun 23, 2021",Bid Protest,Paula A. Williams,B-419573.2
https://www.gao.gov/docket/b-419869.1,"Chronos Solutions, LLC",86616021R00002,Department of Housing and Urban Development,B-419869.1,Dismissed,"Jun 17, 2021","May 28, 2021","Sep 7, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-418039.6,ASRC Federal Gulf State Constructors,W9124G-18-R-0007,Department of the Army,B-418039.6,Withdrawn,"Jun 17, 2021","Mar 29, 2021","Jul 7, 2021",Bid Protest,Louis A. Chiarella,
https://www.gao.gov/docket/b-419854.1,Culinary Depot,SPE3SE-21-Q-0208,Department of Defense : Defense Logistics Agency,B-419854.1,Dismissed,"Jun 17, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Paula A. Williams,
https://www.gao.gov/docket/b-418039.7,ASRC Federal Gulf State Constructors,W9124G-18-R-0007,Department of the Army,B-418039.7,Withdrawn,"Jun 17, 2021","Apr 15, 2021","Jul 26, 2021",Bid Protest,Louis A. Chiarella,
https://www.gao.gov/docket/b-419657.1,"ManTech Advanced Systems International, Inc.",FA8240-19-R-3501,Department of the Air Force,B-419657.1,Sustained,"Jun 17, 2021","Mar 10, 2021","Jun 18, 2021",Bid Protest,Glenn G. Wolcott,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-419915.1,"ATW Health Solutions, Inc.",W91SMC-21-R-0003,Department of the Army,B-419915.1,Withdrawn,"Jun 17, 2021","Jun 15, 2021","Sep 23, 2021",Bid Protest,Christopher An,
https://www.gao.gov/docket/b-419657.2,"ManTech Advanced Systems International, Inc.",FA8240-19-R-3501,Department of the Air Force,B-419657.2,Sustained,"Jun 17, 2021","Mar 15, 2021","Jun 23, 2021",Bid Protest,Glenn G. Wolcott,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-419851.1,"American Supply Company, Inc.",140A2321Q0277,Department of the Interior,B-419851.1,Dismissed,"Jun 16, 2021","May 19, 2021","Aug 27, 2021",Bid Protest,Christopher An,
https://www.gao.gov/docket/b-419350.4,"Agile-Bot II, LLC",HR001120Q0002,Department of Defense : Defense Advanced Research Projects Agency,B-419350.4,Denied,"Jun 16, 2021","Apr 22, 2021","Aug 2, 2021",Bid Protest,U R. Yoo,"B-419350.3,B-419350.4"
https://www.gao.gov/docket/b-419828.1,"USfalcon, Inc.",W58RGZ-21-R-0082,Department of the Army : U.S. Army Materiel Command,B-419828.1,Withdrawn,"Jun 16, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-419866.1,"Total Control Training, Inc.",M95494-21-R-0015,Department of Defense : United States Marine Corps,B-419866.1,Dismissed,"Jun 16, 2021","May 26, 2021","Sep 3, 2021",Bid Protest,Christopher An,
https://www.gao.gov/docket/b-419350.3,"Agile-Bot II, LLC",HR001120Q0002,Department of Defense : Defense Advanced Research Projects Agency,B-419350.3,Denied,"Jun 16, 2021","Mar 11, 2021","Jun 21, 2021",Bid Protest,U R. Yoo,"B-419350.3,B-419350.4"
https://www.gao.gov/docket/b-419722.1,"Omnicell, Inc.",36C10G21R0006,Department of Veterans Affairs,B-419722.1,Dismissed,"Jun 16, 2021","Apr 5, 2021","Jul 14, 2021",Bid Protest,Evan D. Wesser,
https://www.gao.gov/docket/b-418730.5,"Babel Street, Inc.",FA7014-20-R-0005,Department of the Air Force,B-418730.5,Denied,"Jun 15, 2021","Mar 8, 2021","Jun 16, 2021",Bid Protest,Stephanie B. Magnell,"B-418730.5,B-418730.6"
https://www.gao.gov/docket/b-418730.6,"Babel Street, Inc.",FA7014-20-R-0005,Department of the Air Force,B-418730.6,Denied,"Jun 15, 2021","Apr 19, 2021","Jul 28, 2021",Bid Protest,Stephanie B. Magnell,"B-418730.5,B-418730.6"
https://www.gao.gov/docket/b-419341.4,"APS-IAP JV, LLC",W912QR-20-R-0028,Department of the Army : Corps of Engineers,B-419341.4,Withdrawn,"Jun 15, 2021","May 4, 2021","Aug 12, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-419845.1,"All Points Logistics, LLC",80MSFC20R0012,Independent Agencies and Govt Corporations : National Aeronautics and Space Administration,B-419845.1,Dismissed,"Jun 15, 2021","May 17, 2021","Aug 25, 2021",Bid Protest,Alexander O. Levine,
https://www.gao.gov/docket/b-419863.1,"Social Impact, Inc.",72027820R00014,Independent Agencies and Govt Corporations : United States Agency for International Development,B-419863.1,Withdrawn,"Jun 15, 2021","May 24, 2021","Sep 1, 2021",Bid Protest,Michael P. Grogan,
https://www.gao.gov/docket/b-419868.1,"DT-Trak Consulting, Inc.",IHS1426588,Department of Health and Human Services : Indian Health Service,B-419868.1,Withdrawn,"Jun 15, 2021","May 27, 2021","Sep 7, 2021",Bid Protest,Samantha Lee,
https://www.gao.gov/docket/b-419853.9,"Tom Fery Farm, Inc.",1202SC21Q0001,Department of Agriculture : Forest Service,B-419853.9,Withdrawn,"Jun 14, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Scott H. Riback,
https://www.gao.gov/docket/b-419552.4,"Sea Box, Inc.",SPE8EG-20-R-0008,Department of Defense : Defense Logistics Agency,B-419552.4,Dismissed,"Jun 14, 2021","May 3, 2021","Aug 11, 2021",Bid Protest: Entitlement,Heather Weiner,
https://www.gao.gov/docket/b-419643.1,Converge Networks Corporation,47QTCB20Q0031,Independent Agencies and Govt Corporations : Federal Acquisition Service,B-419643.1,Denied,"Jun 14, 2021","Mar 5, 2021","Jun 14, 2021",Bid Protest,Katherine I. Riback,B-419643
https://www.gao.gov/docket/b-419858.1,Foxit Software,193978,Department of Transportation : Federal Highway Administration,B-419858.1,Dismissed,"Jun 11, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Jonathan L. Kang,
https://www.gao.gov/docket/b-419786.1,"LRG Construction JV, LLC",FA521521B0001,Department of the Air Force,B-419786.1,Dismissed,"Jun 11, 2021","Apr 27, 2021","Aug 5, 2021",Bid Protest,Jonathan L. Kang,
https://www.gao.gov/docket/b-419616.3,"Excalibur Healthcare, PA",HT001520R0063,Department of Defense : Defense Health Agency,B-419616.3,Dismissed,"Jun 11, 2021","May 6, 2021","Aug 16, 2021",Bid Protest,Jacob Talcott,
https://www.gao.gov/docket/b-419885.1,"Priority 5 Holdings, Inc.",19AQMM21N0041,Department of State,B-419885.1,Dismissed,"Jun 11, 2021","Jun 4, 2021","Sep 13, 2021",Bid Protest,Michael Willems,
https://www.gao.gov/docket/b-419842.1,Sierra Pacific Industries,N/A,Department of Agriculture : Forest Service,B-419842.1,Dismissed,"Jun 11, 2021","May 14, 2021","Aug 23, 2021",Bid Protest,Mary G. Curcio,
https://www.gao.gov/docket/b-419799.2,"All Phase Solutions, LLC",FA2521-20-R-0009,Department of the Air Force,B-419799.2,Dismissed,"Jun 11, 2021","May 19, 2021","Aug 27, 2021",Bid Protest,Katherine I. Riback,
https://www.gao.gov/docket/b-419754.2,Gulf Civilization General Trading & Contracting Company,SP4510-21-R-0001,Department of Defense : Defense Logistics Agency,B-419754.2,Denied,"Jun 10, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,Evan D. Wesser,"B-419754,B-419754.2"
https://www.gao.gov/docket/b-419759.6,CSRA LLC,1333BJ20R00280001,Department of Commerce : Patent and Trademark Office,B-419759.6,Withdrawn,"Jun 10, 2021","Apr 26, 2021","Aug 4, 2021",Bid Protest,Christopher Alwood,
https://www.gao.gov/docket/b-419477.2,"Squire Solutions, Inc.",SBIR-N202-133,Department of the Navy : Naval Air Systems Command,B-419477.2,Denied,"Jun 10, 2021","Mar 9, 2021","Jun 17, 2021",Bid Protest,Louis A. Chiarella,B-419477.2
https://www.gao.gov/docket/b-419827.1,"Valiant Global Defense Services, Inc",N6134020R0001,Department of the Navy : Naval Air Systems Command,B-419827.1,Dismissed,"Jun 10, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,U R. Yoo,
https://www.gao.gov/docket/b-419827.2,"L3Harris Technologies, Inc.",N6134020R0001,Department of the Navy : Naval Air Systems Command,B-419827.2,Dismissed,"Jun 10, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,U R. Yoo,
https://www.gao.gov/docket/b-419754.1,Gulf Civilization General Trading & Contracting Company,SP4510-21-R-0001,Department of Defense : Defense Logistics Agency,B-419754.1,Denied,"Jun 10, 2021","Apr 16, 2021","Jul 26, 2021",Bid Protest,Evan D. Wesser,"B-419754,B-419754.2"
https://www.gao.gov/docket/b-419811.3,"Nova Radiant Griff, Ltd.",W52P1J-20-R-0025,Department of the Army : U.S. Army Materiel Command,B-419811.3,Dismissed,"Jun 9, 2021","May 18, 2021","Aug 26, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-419811.3,"Nova Radiant Griff, Ltd.",W52P1J-20-R-0025,Department of the Army : U.S. Army Materiel Command,B-419811.3,Dismissed,"Jun 9, 2021","May 18, 2021","Aug 26, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-419811.4,Secure Movement Logistics Services,W52P1J-20-R-0025,Department of the Army : U.S. Army Materiel Command,B-419811.4,Dismissed,"Jun 9, 2021","May 24, 2021","Sep 1, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-419782.1,Armstrong Elevator Company,47PH0821R0001,Independent Agencies and Govt Corporations : Public Buildings Service,B-419782.1,Withdrawn,"Jun 9, 2021","Apr 26, 2021","Aug 4, 2021",Bid Protest,Mary G. Curcio,
https://www.gao.gov/docket/b-419811.5,Mighty Falcon Logistics Services,W52P1J-20-R-0025,Department of the Army : U.S. Army Materiel Command,B-419811.5,Dismissed,"Jun 9, 2021","May 28, 2021","Sep 7, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-419811.2,Hyper Move Petroleum Import Company,W52P1J-20-R-0025,Department of the Army : U.S. Army Materiel Command,B-419811.2,Dismissed,"Jun 9, 2021","May 12, 2021","Aug 20, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-419807.1,"DeWitt Transportation Services of Guam, Inc.",N/A,Department of the Navy : Naval Facilities Engineering Command,B-419807.1,Dismissed,"Jun 9, 2021","May 3, 2021","Aug 11, 2021",Bid Protest,Christopher An,
https://www.gao.gov/docket/b-419807.2,"DeWitt Transportation Services of Guam, Inc.",N/A,Department of the Navy : Naval Facilities Engineering Command,B-419807.2,Dismissed,"Jun 9, 2021","May 4, 2021","Aug 12, 2021",Bid Protest,Christopher An,
https://www.gao.gov/docket/b-419339.3,"Mission Analytics, LLC",M6739920Q0038,Department of Defense : United States Marine Corps,B-419339.3,Dismissed,"Jun 9, 2021","Apr 26, 2021","Aug 4, 2021",Bid Protest: Reconsideration,Christopher An,
https://www.gao.gov/docket/b-419811.1,Sylag Yoly Logistic Services,W52P1J-20-R-0025,Department of the Army : U.S. Army Materiel Command,B-419811.1,Dismissed,"Jun 9, 2021","May 3, 2021","Aug 11, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-418828.7,"PAE Aviation and Technical Services, LLC",N00421-20-TO-0001,Department of the Navy : Naval Air Systems Command,B-418828.7,Denied,"Jun 8, 2021","May 7, 2021","Aug 16, 2021",Bid Protest: Reconsideration,Todd C. Culliton,B-418828.7
https://www.gao.gov/docket/b-419831.1,"Alpine Companies, Inc.",86614920R0005,Department of Housing and Urban Development,B-419831.1,Dismissed,"Jun 8, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,Michael Willems,"B-419831,B-419831.2,B-419831.3,B-419831.5,B-419831.6"
https://www.gao.gov/docket/b-419855.1,"Bestica, Inc.",FA487721R0001,Department of the Air Force,B-419855.1,Dismissed,"Jun 8, 2021","May 21, 2021","Aug 30, 2021",Bid Protest,Emily R. O'Hara,
https://www.gao.gov/docket/b-419831.3,"Alpine Companies, Inc.",86614920R0005,Department of Housing and Urban Development,B-419831.3,Dismissed,"Jun 8, 2021","May 13, 2021","Aug 23, 2021",Bid Protest,Michael Willems,"B-419831,B-419831.2,B-419831.3,B-419831.5,B-419831.6"
https://www.gao.gov/docket/b-419826.1,"Data Systems Analysts, Inc.",RS3-20-0008,Department of the Army : U.S. Army Materiel Command,B-419826.1,Dismissed,"Jun 8, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,Michael P. Grogan,
https://www.gao.gov/docket/b-417704.8,"PAE Aviation and Technical Services, LLC",70B02C18R00000063,Department of Homeland Security : United States Customs and Border Protection,B-417704.8,Denied,"Jun 8, 2021","Apr 12, 2021","Jul 21, 2021",Bid Protest,Kenneth Kilgour,"B-417704.7,B-417704.8"
https://www.gao.gov/docket/b-419831.5,"Alpine Companies, Inc.",86614920R0005,Department of Housing and Urban Development,B-419831.5,Dismissed,"Jun 8, 2021","May 28, 2021","Sep 7, 2021",Bid Protest,Michael Willems,"B-419831,B-419831.2,B-419831.3,B-419831.5,B-419831.6"
https://www.gao.gov/docket/b-419505.2,"Hanger Prosthetics & Orthotics, Inc.",36C77620Q0073,Department of Veterans Affairs,B-419505.2,Dismissed,"Jun 8, 2021","May 7, 2021","Aug 16, 2021",Bid Protest,Michael P. Grogan,
https://www.gao.gov/docket/b-419831.4,"Andromeda Systems, Inc.",86614920R0005,Department of Housing and Urban Development,B-419831.4,Dismissed,"Jun 8, 2021","May 17, 2021","Aug 25, 2021",Bid Protest,Michael Willems,
https://www.gao.gov/docket/b-419826.3,"Data Systems Analysts, Inc.",RS3-20-0008,Department of the Army : U.S. Army Materiel Command,B-419826.3,Dismissed,"Jun 8, 2021","May 24, 2021","Sep 1, 2021",Bid Protest,Michael P. Grogan,
https://www.gao.gov/docket/b-418703.6,"Progress for Bakersfield Veterans, LLC",36C10F19R0067,Department of Veterans Affairs,B-418703.6,Dismissed,"Jun 8, 2021","Jan 4, 2021","Apr 14, 2021",Bid Protest: Entitlement,Mary G. Curcio,
https://www.gao.gov/docket/b-419773.2,"Crawford Environmental Services, LLC",W911XK20R0009,Department of the Army : Corps of Engineers,B-419773.2,Dismissed,"Jun 8, 2021","Apr 26, 2021","Aug 4, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-417704.7,"PAE Aviation and Technical Services, LLC",70B02C18R00000063,Department of Homeland Security : United States Customs and Border Protection,B-417704.7,Denied,"Jun 8, 2021","Mar 1, 2021","Jun 9, 2021",Bid Protest,Kenneth Kilgour,"B-417704.7,B-417704.8"
https://www.gao.gov/docket/b-419826.2,Intelligent Waves LLC,RS3-20-0008,Department of the Army : U.S. Army Materiel Command,B-419826.2,Dismissed,"Jun 8, 2021","May 17, 2021","Aug 25, 2021",Bid Protest,Michael P. Grogan,
https://www.gao.gov/docket/b-419831.2,"Alpine Companies, Inc.",86614920R0005,Department of Housing and Urban Development,B-419831.2,Dismissed,"Jun 8, 2021","May 13, 2021","Aug 23, 2021",Bid Protest,Michael Willems,"B-419831,B-419831.2,B-419831.3,B-419831.5,B-419831.6"
https://www.gao.gov/docket/b-419831.6,"Alpine Companies, Inc.",86614920R0005,Department of Housing and Urban Development,B-419831.6,Dismissed,"Jun 8, 2021","Jun 7, 2021","Sep 15, 2021",Bid Protest,Michael Willems,"B-419831,B-419831.2,B-419831.3,B-419831.5,B-419831.6"
https://www.gao.gov/docket/b-419622.1,"VetPride Services, Inc.",36C262-21-R-0012,Department of Veterans Affairs,B-419622.1,Denied,"Jun 7, 2021","Feb 25, 2021","Jun 7, 2021",Bid Protest,Kasia Dourney,"B-419622,B-419622.2"
https://www.gao.gov/docket/b-419622.2,"VetPride Services, Inc.",36C262-21-R-0012,Department of Veterans Affairs,B-419622.2,Denied,"Jun 7, 2021","Apr 7, 2021","Jul 16, 2021",Bid Protest,Kasia Dourney,"B-419622,B-419622.2"
https://www.gao.gov/docket/b-419850.1,"MEEUNIFAB-JV, LLC",W912ER21R0008,Department of the Army : Corps of Engineers,B-419850.1,Dismissed,"Jun 7, 2021","May 19, 2021","Aug 27, 2021",Bid Protest,Todd C. Culliton,
https://www.gao.gov/docket/b-419776.1,ASYNCROB Corporation,RFQ1478577,Department of Agriculture : Agricultural Research Service,B-419776.1,Dismissed,"Jun 7, 2021","Apr 23, 2021","Aug 2, 2021",Bid Protest,Young H. Cho,
https://www.gao.gov/docket/b-419837.1,"Altus Architectural Studios, Inc.",W912DY-20-R-0015,Department of the Army : Corps of Engineers,B-419837.1,Dismissed,"Jun 4, 2021","May 11, 2021","Aug 19, 2021",Bid Protest,Christopher An,
https://www.gao.gov/docket/b-419830.1,Kinemetrics Inc.,FA702220SC001,Department of the Air Force,B-419830.1,Withdrawn,"Jun 4, 2021","May 10, 2021","Aug 18, 2021",Bid Protest,Emily R. O'Hara,
https://www.gao.gov/docket/b-419781.1,Tridentis LLC,N3220520R4139,Department of the Navy : Military Sealift Command,B-419781.1,Withdrawn,"Jun 4, 2021","Apr 26, 2021","Aug 4, 2021",Bid Protest,Jacob Talcott,
https://www.gao.gov/docket/b-419804.1,Centerline Logistics Corporation,HTC711-20-R-W001,Department of the Air Force : United States Transportation Command,B-419804.1,Dismissed,"Jun 4, 2021","Apr 30, 2021","Aug 9, 2021",Bid Protest,Charmaine Stevenson,
https://www.gao.gov/docket/b-419799.1,RELYANT Global LLC,FA252120R0009,Department of the Air Force,B-419799.1,Dismissed,"Jun 3, 2021","Apr 29, 2021","Aug 9, 2021",Bid Protest,Alberto Lopez,
https://www.gao.gov/docket/b-419815.2,Bode Technology,15F06720R0000196,Department of Justice : Federal Bureau of Investigation,B-419815.2,Dismissed,"Jun 3, 2021","May 4, 2021","Aug 12, 2021",Bid Protest,Paul N. Wengert,
